Time Period,GDP Growth
01-08-1977,5.571852831
01-09-1977,1.514225576
01-10-1977,-1.089282898
01-11-1977,-1.703937094
01-12-1977,-1.871441041
01-01-1978,-4.941370425
01-02-1978,7.483603152
01-03-1978,16.81660341
01-04-1978,20.73125323
01-05-1978,13.21863116
01-06-1978,6.731355997
01-07-1978,0.012089553
01-08-1978,2.314780246
01-09-1978,4.681545193
01-10-1978,7.267157654
01-11-1978,6.016686677
01-12-1978,2.5859666
01-01-1979,-2.118980091
01-02-1979,-0.2183061
01-03-1979,2.026172502
01-04-1979,-3.751100312
01-05-1979,4.071328253
01-06-1979,3.153666623
01-07-1979,3.557711561
01-08-1979,2.338597051
01-09-1979,0.899667987
01-10-1979,0.486315715
01-11-1979,0.350953394
01-12-1979,2.665017711
01-01-1980,4.24965218
01-02-1980,-0.024683914
01-03-1980,-7.035488638
01-04-1980,-11.69705171
01-05-1980,-10.68980494
01-06-1980,-4.399639167
01-07-1980,0.425296285
01-08-1980,3.599423932
01-09-1980,6.705968642
01-10-1980,7.11226372
01-11-1980,8.47168404
01-12-1980,11.26023895
01-01-1981,11.03127313
01-02-1981,4.428851997
01-03-1981,-3.108605468
01-04-1981,-7.091901669
01-05-1981,-3.83823775
01-06-1981,3.951205247
01-07-1981,9.244153466
01-08-1981,5.969968886
01-09-1981,-0.863097439
01-10-1981,-5.716436081
01-11-1981,-8.067639654
01-12-1981,-10.38198634
01-01-1982,-10.40017423
01-02-1982,1.259813372
01-03-1982,1.111419918
01-04-1982,2.799369579
01-05-1982,2.875354581
01-06-1982,-1.237036127
01-07-1982,-2.360393068
01-08-1982,-3.41793735
01-09-1982,-0.264337935
01-10-1982,-0.403652903
01-11-1982,1.908326049
01-12-1982,2.7705966
01-01-1983,7.34624299
01-02-1983,4.2840453
01-03-1983,9.099171877
01-04-1983,9.978445038
01-05-1983,9.762773033
01-06-1983,9.061710686
01-07-1983,7.074708727
01-08-1983,6.400224063
01-09-1983,9.299412736
01-10-1983,8.687884667
01-11-1983,7.799267609
01-12-1983,7.692867419
01-01-1984,8.512320023
01-02-1984,7.327752481
01-03-1984,6.292202911
01-04-1984,7.401554963
01-05-1984,7.056344787
01-06-1984,5.472957067
01-07-1984,3.116998476
01-08-1984,2.587991816
01-09-1984,2.010969269
01-10-1984,3.16842996
01-11-1984,4.7004395
01-12-1984,3.896290506
01-01-1985,3.663419863
01-02-1985,3.787118675
01-03-1985,3.648809602
01-04-1985,2.128727661
01-05-1985,4.528662947
01-06-1985,5.044166375
01-07-1985,7.009000928
01-08-1985,7.562750644
01-09-1985,3.782747322
01-10-1985,0.534621657
01-11-1985,2.660582231
01-12-1985,4.625247596
01-01-1986,6.014198588
01-02-1986,1.495268054
01-03-1986,0.498642866
01-04-1986,2.33401389
01-05-1986,1.76970229
01-06-1986,3.141558608
01-07-1986,4.928740744
01-08-1986,3.865480417
01-09-1986,3.715776733
01-10-1986,0.408397187
01-11-1986,1.40025667
01-12-1986,3.939031013
01-01-1987,-0.016907667
01-02-1987,6.609040236
01-03-1987,4.172563563
01-04-1987,4.478213109
01-05-1987,3.904320755
01-06-1987,2.413413514
01-07-1987,2.568858925
01-08-1987,3.554871322
01-09-1987,7.509490714
01-10-1987,9.361771424
01-11-1987,6.091007208
01-12-1987,2.441701781
01-01-1988,-1.072393569
01-02-1988,2.544931649
01-03-1988,5.724345818
01-04-1988,6.658053007
01-05-1988,4.941610683
01-06-1988,3.14909651
01-07-1988,0.576431021
01-08-1988,1.981999129
01-09-1988,4.095709098
01-10-1988,6.438479856
01-11-1988,6.001679319
01-12-1988,6.159836124
01-01-1989,4.115353442
01-02-1989,1.453085524
01-03-1989,2.82458571
01-04-1989,3.961670395
01-05-1989,2.495478245
01-06-1989,3.400845061
01-07-1989,2.515065467
01-08-1989,4.829689776
01-09-1989,0.05373771
01-10-1989,-1.423540372
01-11-1989,1.355121853
01-12-1989,3.729670357
01-01-1990,5.457575288
01-02-1990,5.419846021
01-03-1990,3.096499444
01-04-1990,-0.787447195
01-05-1990,1.03340469
01-06-1990,1.737000131
01-07-1990,0.310768684
01-08-1990,-0.012897378
01-09-1990,-3.022778832
01-10-1990,-4.351440072
01-11-1990,-5.336572317
01-12-1990,-3.151246442
01-01-1991,-2.273509762
01-02-1991,0.103313494
01-03-1991,1.363218917
01-04-1991,4.738791706
01-05-1991,4.194689651
01-06-1991,2.526639496
01-07-1991,1.931056681
01-08-1991,0.683675075
01-09-1991,1.743983525
01-10-1991,0.757713276
01-11-1991,1.740202501
01-12-1991,2.588504435
01-01-1992,6.179094267
01-02-1992,6.02951109
01-03-1992,5.329601955
01-04-1992,4.079967989
01-05-1992,3.10890939
01-06-1992,3.680588701
01-07-1992,4.713124888
01-08-1992,2.80572926
01-09-1992,5.19584201
01-10-1992,5.206500709
01-11-1992,3.366673046
01-12-1992,1.772464422
01-01-1993,-0.414833134
01-02-1993,-0.273129636
01-03-1993,0.908995098
01-04-1993,4.095869132
01-05-1993,2.860394504
01-06-1993,1.319711508
01-07-1993,0.877700961
01-08-1993,1.847553633
01-09-1993,5.322578706
01-10-1993,6.764849753
01-11-1993,5.697876588
01-12-1993,4.458689971
01-01-1994,2.069157169
01-02-1994,3.221568565
01-03-1994,7.489216903
01-04-1994,6.021416741
01-05-1994,4.721473496
01-06-1994,2.769686644
01-07-1994,0.443086027
01-08-1994,2.798899347
01-09-1994,3.790950391
01-10-1994,5.612932941
01-11-1994,5.059582986
01-12-1994,3.649369595
01-01-1995,0.298049976
01-02-1995,-0.499077235
01-03-1995,0.52097354
01-04-1995,0.552342583
01-05-1995,2.501169415
01-06-1995,3.499156761
01-07-1995,2.447570001
01-08-1995,5.022393831
01-09-1995,3.613114133
01-10-1995,1.444769643
01-11-1995,2.534802178
01-12-1995,2.725234197
01-01-1996,0.283042445
01-02-1996,5.718892395
01-03-1996,6.57724499
01-04-1996,7.572024947
01-05-1996,6.887033107
01-06-1996,4.18058136
01-07-1996,1.895102044
01-08-1996,3.281841548
01-09-1996,4.675424549
01-10-1996,4.914834878
01-11-1996,4.47450628
01-12-1996,0.858646748
01-01-1997,0.44372988
01-02-1997,4.620977764
01-03-1997,6.397187347
01-04-1997,7.722450749
01-05-1997,6.684710492
01-06-1997,5.487600236
01-07-1997,5.230191788
01-08-1997,3.840264685
01-09-1997,3.642426109
01-10-1997,2.982375508
01-11-1997,3.467476801
01-12-1997,3.605598973
01-01-1998,4.273354541
01-02-1998,4.537377379
01-03-1998,3.368137313
01-04-1998,3.418757351
01-05-1998,4.17515121
01-06-1998,3.292192371
01-07-1998,4.201066225
01-08-1998,7.514680716
01-09-1998,6.671098669
01-10-1998,7.220063554
01-11-1998,5.301136558
01-12-1998,4.345440167
01-01-1999,3.181548477
01-02-1999,3.811372798
01-03-1999,2.494962644
01-04-1999,2.814525236
01-05-1999,4.266808077
01-06-1999,4.133843776
01-07-1999,5.276700494
01-08-1999,6.095145247
01-09-1999,6.88378785
01-10-1999,8.870816235
01-11-1999,5.368158354
01-12-1999,1.370775117
01-01-2000,-1.607173911
01-02-2000,0.670692038
01-03-2000,8.389958816
01-04-2000,10.85174091
01-05-2000,6.533102087
01-06-2000,1.914554422
01-07-2000,-2.975031956
01-08-2000,-0.945550713
01-09-2000,4.120674567
01-10-2000,3.89459269
01-11-2000,2.108969008
01-12-2000,-1.756116997
01-01-2001,-3.414601222
01-02-2001,-1.415313378
01-03-2001,2.643623462
01-04-2001,4.271280374
01-05-2001,3.500419991
01-06-2001,-1.267829012
01-07-2001,-3.2767908
01-08-2001,-2.012455501
01-09-2001,-1.5670248
01-10-2001,2.504667293
01-11-2001,2.197353846
01-12-2001,3.126765182
01-01-2002,3.975543048
01-02-2002,3.677405858
01-03-2002,2.248565308
01-04-2002,2.487730703
01-05-2002,1.933554236
01-06-2002,2.469594416
01-07-2002,1.586988151
01-08-2002,1.513257006
01-09-2002,-0.051707471
01-10-2002,-0.337186186
01-11-2002,1.649488712
01-12-2002,0.76290786
01-01-2003,3.082682465
01-02-2003,1.906442986
01-03-2003,2.65807246
01-04-2003,2.474141066
01-05-2003,5.067067446
01-06-2003,6.981041198
01-07-2003,7.442394064
01-08-2003,6.02727288
01-09-2003,5.968117003
01-10-2003,4.639523432
01-11-2003,3.818421352
01-12-2003,2.031575196
01-01-2004,1.28141671
01-02-2004,2.431467891
01-03-2004,3.748339982
01-04-2004,2.527921838
01-05-2004,3.667627111
01-06-2004,2.950563906
01-07-2004,4.442282984
01-08-2004,3.820159328
01-09-2004,3.436382229
01-10-2004,4.046005757
01-11-2004,3.897137567
01-12-2004,5.925196387
01-01-2005,5.126460257
01-02-2005,3.828346359
01-03-2005,0.922849032
01-04-2005,1.720798771
01-05-2005,1.468749309
01-06-2005,3.927205933
01-07-2005,3.748968569
01-08-2005,3.637921107
01-09-2005,0.260231713
01-10-2005,1.094169281
01-11-2005,3.46945573
01-12-2005,5.552947192
